Startup Name,Startup URL,Logo URL,Location
,,,
23 Spaces,http://www.23spaces.com/,,
,,,
Audiocompass,http://www.audiocompass.in,http://blume.vc/wp-content/uploads/2016/05/Audio-Compass.png,
,,,
Belong,https://belong.co/,http://blume.vc/wp-content/uploads/2016/05/Belong-1.png,
,,,
BHIVE,http://bhiveworkspace.com/,http://blume.vc/wp-content/uploads/2016/05/Bhive.png,
,,,
Carbon Clean Solutions,http://www.carboncleansolutions.com,http://blume.vc/wp-content/uploads/2016/05/Carbon-Clean.png,x
,,,
Careervita,http://www.careervita.com/,http://blume.vc/wp-content/uploads/2016/07/Careervita.png,
,,,
Cashify,http://www.cashify.in,http://blume.vc/wp-content/uploads/2016/05/Cashify.jpg,
,,,
Chillr,http://www.chillr.in,http://blume.vc/wp-content/uploads/2016/05/Chillar.png,
,,,
Covacsis,http://www.covacsis.com/,http://blume.vc/wp-content/uploads/2016/05/Covacsis.png,
,,,
Dataweave,http://dataweave.com/,http://blume.vc/wp-content/uploads/2016/05/Logos-08.png,
,,,
Dunzo,http://www.dunzo.in,http://blume.vc/wp-content/uploads/2016/05/dunzo.png,
,,,
E2E Networks,http://www.e2enetworks.com,http://blume.vc/wp-content/uploads/2016/05/Porfolio_Logos_300x200-58.jpg,
,,,
Exotel,http://www.exotel.in,http://blume.vc/wp-content/uploads/2016/05/Logos-09.png,
,,,
Explara,http://www.explara.com,http://blume.vc/wp-content/uploads/2016/05/explara.png,
,,,
Factor Daily,http://factordaily.com/,http://blume.vc/wp-content/uploads/2016/10/Factor-Daily.png,
,,,
Flipclass,http://www.flipclass.com,http://blume.vc/wp-content/uploads/2016/05/flipclass.png,
,,,
Gift Cards India,http://www.gcinetwork.co/,http://blume.vc/wp-content/uploads/2016/05/GCI-1.png,
,,,
Glamrs,http://www.glamrs.com,http://blume.vc/wp-content/uploads/2016/05/Logos-07.png,
,,,
GreyOrange Robotics,http://www.greyorange.com,http://blume.vc/wp-content/uploads/2016/05/Logos-12.png,
,,,
Greytip,http://www.greytip.in,http://blume.vc/wp-content/uploads/2016/05/greytip.png,
,,,
