Startup Name,Startup URL,Logo URL,Industry
9.9 Media,http://www.9dot9.in,http://www.helionvc.com/sites/default/files/styles/medium/public/9dot9-logo_0.jpg%3Fitok=1AxkSHOi,Others
Amba (Acquired by Moodys),,http://www.helionvc.com/sites/default/files/styles/medium/public/amba-logo.png%3Fitok=9MnAvZDA,Outsourcing
Anantara Solutions,,http://www.helionvc.com/sites/default/files/styles/medium/public/anantara-logo.png%3Fitok=_l9FfQVN,Outsourcing
Attano,,http://www.helionvc.com/sites/default/files/styles/medium/public/attano-logo.png%3Fitok=T-xyhi_O,Online services
Axtria,http://www.axtria.com,http://www.helionvc.com/sites/default/files/styles/medium/public/Axtria-Logo.jpg%3Fitok=PnJserQ-,Enterprise Software
Azure Power,http://www.azurepower.com,http://www.helionvc.com/sites/default/files/styles/medium/public/azure-logo.png%3Fitok=5LJF8qnT,Others
BabyOye (Acquired:Mahindra),,http://www.helionvc.com/sites/default/files/styles/medium/public/babyoye-logo.png%3Fitok=Y5y7dr03,Ecommerce
Big Basket,http://www.bigbasket.com,http://www.helionvc.com/sites/default/files/styles/medium/public/bigbasketlogonov16.png,Ecommerce
Bluestacks,http://www.bluestacks.com,http://www.helionvc.com/sites/default/files/styles/medium/public/bluestacks-logo.png%3Fitok=9fX7zRhR,Mobility
Brand Calculus,,http://www.helionvc.com/sites/default/files/styles/medium/public/brand_calculus_logo.jpg%3Fitok=JHr7lOZi,Consumer Services
CrownIT,https://crownit.in ,http://www.helionvc.com/sites/default/files/styles/medium/public/crown it-H_0.png%3Fitok=_7EBiyfs,Online services
Cucumbertown,,http://www.helionvc.com/sites/default/files/styles/medium/public/cucumbertown-logo.png%3Fitok=vy5jj3sc,Online services
Denty’s ,http://www.dentys.com,http://www.helionvc.com/sites/default/files/styles/medium/public/dentys-logo.png,Consumer Services
Dhingana (Acquired by Rdio),,http://www.helionvc.com/sites/default/files/styles/medium/public/dhingana-logo_0.jpg%3Fitok=enV26l12,Online services
Doormint,http://www.doormint.com,http://www.helionvc.com/sites/default/files/styles/medium/public/doormint-logo.png,Online services
Equitas,http://www.equitas.in/,http://www.helionvc.com/sites/default/files/styles/medium/public/equitas-logo.png%3Fitok=MMdBAhZU,Consumer Services
Eye-Q,http://www.eyeqindia.com/,http://www.helionvc.com/sites/default/files/styles/medium/public/eyeq-logo.png%3Fitok=XMeebkTk,Consumer Services
Ezetap,http://www.ezetap.com,http://www.helionvc.com/sites/default/files/styles/medium/public/ezetap-logo.png%3Fitok=Vf0kEtQ8,Mobility
Fashionara,,http://www.helionvc.com/sites/default/files/styles/medium/public/fashionara-logo.png%3Fitok=-C1KNfk0,Ecommerce
Getit,http://www.getit.in,http://www.helionvc.com/sites/default/files/styles/medium/public/getit-logo.png%3Fitok=qMIDapjE,Online services
GTT,http://www.gttconnect.com,http://www.helionvc.com/sites/default/files/styles/medium/public/gtt-logo.png%3Fitok=WECcdDkx,Consumer Services
GupShup,http://www.webaroo.com,http://www.helionvc.com/sites/default/files/styles/medium/public/webaroo-logo.png%3Fitok=iT8ELnQ0,"Mobility, Enterprise Software"
Housing,http://www.housing.com,http://www.helionvc.com/sites/default/files/styles/medium/public/housing-logo.jpg%3Fitok=WCjgFy9n,Online services
Humming Bird,http://www.hummingbirdindia.com,http://www.helionvc.com/sites/default/files/styles/medium/public/hummingbird-logo.png%3Fitok=y9aOj0LB,Consumer Services
Hurix Systems,http://www.hurix.com,http://www.helionvc.com/sites/default/files/styles/medium/public/hurix-logo.png%3Fitok=k_4NrGw_,"Enterprise Software, Outsourcing"
ID Fresh,http://www.idspecial.com,http://www.helionvc.com/sites/default/files/styles/medium/public/idfresh-logo.png%3Fitok=cI0u7rUu,Consumer Services
IndiaHomes,,http://www.helionvc.com/sites/default/files/styles/medium/public/indiahomes-logo.png%3Fitok=IfduY15O,Online services
Jivox,http://www.jivox.com,http://www.helionvc.com/sites/default/files/styles/medium/public/jivox-logo.png%3Fitok=ERZilisE,Enterprise Software
Kirusa,http://www.kirusa.com,http://www.helionvc.com/sites/default/files/styles/medium/public/kirusa-logo.png%3Fitok=Z7TnJPrd,"Mobility, Enterprise Software"
Komli Media,,http://www.helionvc.com/sites/default/files/styles/medium/public/komli-logo_0.png%3Fitok=YJ7Sg44m,Enterprise Software
Letsbuy (Acquired by Flipkart),,http://www.helionvc.com/sites/default/files/styles/medium/public/letsbuy-logo_0.jpg%3Fitok=b8ADFobr,Ecommerce
LifeCell,http://www.lifecell.in,http://www.helionvc.com/sites/default/files/styles/medium/public/lifecell-logo.png%3Fitok=zY0QswPU,Consumer Services
LinguaNext,http://www.linguanext.net,http://www.helionvc.com/sites/default/files/styles/medium/public/linguanext-logo.png%3Fitok=_UOEhSS7,Enterprise Software
Livspace,http://www.livspace.com,http://www.helionvc.com/sites/default/files/styles/medium/public/livspace-logo_0.png%3Fitok=4dsVm4J9,"Online services, Ecommerce"
MakeMyTrip (NASDAQ: MMYT),,http://www.helionvc.com/sites/default/files/styles/medium/public/makemytrip-logo_0.jpg%3Fitok=oegdIAr7,Online services
Mast Kalandar,http://www.mastkalandar.com,http://www.helionvc.com/sites/default/files/styles/medium/public/mastkalandar-logo_0.png%3Fitok=ld071QS5,Consumer Services
Mindworks Global,http://www.mindworksglobal.com,http://www.helionvc.com/sites/default/files/styles/medium/public/mindworks-logo.png%3Fitok=RP3GZDw_,Outsourcing
MoEngage,http://moengage.com/,http://www.helionvc.com/sites/default/files/styles/medium/public/download_0.png%3Fitok=YksSLIZ_,Mobility
Mygola (Acquired by MakeMyTrip),,http://www.helionvc.com/sites/default/files/styles/medium/public/mygola-logo.png%3Fitok=-v5k0SLD,Online services
Mysmartprice,http://www.mysmartprice.com,http://www.helionvc.com/sites/default/files/styles/medium/public/mysmartprice-logo_0.png%3Fitok=fKJ_35bA,Ecommerce
NetAmbit,,http://www.helionvc.com/sites/default/files/styles/medium/public/netambit-logo.png%3Fitok=uCO4SnsT,Consumer Services
Ngpay,,http://www.helionvc.com/sites/default/files/styles/medium/public/ngpay-logo_0.png%3Fitok=pf-xsU9V,"Ecommerce, Mobility"
PubMatic,http://www.pubmatic.com,http://www.helionvc.com/sites/default/files/styles/medium/public/pubmatic-logo_0.png%3Fitok=oXnCCsoQ,Enterprise Software
Qwikcilver,http://www.qwikcilver.com,http://www.helionvc.com/sites/default/files/styles/medium/public/qwikcilver-logo.png%3Fitok=xIDDFN7p,Online services
Rail Yatri,http://www.railyatri.in,http://www.helionvc.com/sites/default/files/styles/medium/public/rail-yatri-logo.png,Consumer services
RapidValue,http://www.rapidvaluesolutions.com,http://www.helionvc.com/sites/default/files/styles/medium/public/rapidvalue-logo_0.jpg%3Fitok=MmQVeL2z,Outsourcing
Redbus (Acquired by Ibibo),,http://www.helionvc.com/sites/default/files/styles/medium/public/redbus-logo_0.jpg%3Fitok=-Oy20ntR,Online services
Seclore,http://www.seclore.com,http://www.helionvc.com/sites/default/files/styles/medium/public/seclore-logo_0.png%3Fitok=s9Dwcee3,Enterprise Software
Shop Clues,http://www.shopclues.com,http://www.helionvc.com/sites/default/files/styles/medium/public/shopclues-logo.png%3Fitok=wMmoPuSV,Ecommerce
Shubham,http://www.shubham.co,http://www.helionvc.com/sites/default/files/styles/medium/public/shubham-logo.png%3Fitok=WznG-0Wl,Consumer Services
Simplilearn,http://www.simplilearn.com ,http://www.helionvc.com/sites/default/files/styles/medium/public/simplilearn-logo.jpg%3Fitok=22lH4i3C,Online services
Spandana,http://www.spandanaindia.com,http://www.helionvc.com/sites/default/files/styles/medium/public/spandana-logo.jpg%3Fitok=qVdoHeU3,Consumer Services
Talentpad,,http://www.helionvc.com/sites/default/files/styles/medium/public/talentpad-logo.png%3Fitok=hsLST5Ss,Online services
Taxi For Sure (Acquired by Ola),,http://www.helionvc.com/sites/default/files/styles/medium/public/tfs-logo_0.png%3Fitok=6NEIB4vG,Online services
Toppr,http://www.toppr.com,http://www.helionvc.com/sites/default/files/styles/medium/public/toppr-logo.png%3Fitok=cfQ45gk5,Online services
Truly Madly,http://www.trulymadly.com,http://www.helionvc.com/sites/default/files/styles/medium/public/truly madly.png%3Fitok=Lxj0-V24,Online services
UnitedLex,http://www.unitedlex.com ,http://www.helionvc.com/sites/default/files/styles/medium/public/unitedlex-logo_0.png%3Fitok=aRzau-P8,Outsourcing
Vienova,http://www.vienova.com,http://www.helionvc.com/sites/default/files/styles/medium/public/vienova-logo.png%3Fitok=Z2JL5XxA,Consumer Services
Whatfix,http://www.whatfix.com,http://www.helionvc.com/sites/default/files/styles/medium/public/whatfix-logo.jpg%3Fitok=iYXLxYHR,Enterprise Software
Wooplr,http://www.wooplr.com,http://www.helionvc.com/sites/default/files/styles/medium/public/wooplr-logo_0.png%3Fitok=tpNrGJJt,Ecommerce
Workspot,http://www.workspot.com,http://www.helionvc.com/sites/default/files/styles/medium/public/workspot-logo_0.jpg%3Fitok=MLWx9GJA,"Mobility, Enterprise Software"
Yepme,http://www.yepme.com,http://www.helionvc.com/sites/default/files/styles/medium/public/yepme-logo.jpg%3Fitok=pVHJrDCq,Ecommerce
YLG,http://www.ylgindia.com,http://www.helionvc.com/sites/default/files/styles/medium/public/ylg-logo.jpg%3Fitok=KLtwD1fj,Consumer Services
Zefo,http://www.gozefo.com,http://www.helionvc.com/sites/default/files/styles/medium/public/zefo-logo.jpg,Ecommerce
,,,
ZapStitch (acquired by Freshdesk),http://www.zapstitch.com,http://www.helionvc.com/sites/default/files/styles/medium/public/ZapStitch_Blue_3x.png%3Fitok=aFPPPanY,Enterprise Software
Zettata (acquired by Target),,http://www.helionvc.com/sites/default/files/styles/medium/public/zettata-logo.png,Enterprise Software
Zmanda(Acquired by Carbonite),,http://www.helionvc.com/sites/default/files/styles/medium/public/zmanda-logo.png%3Fitok=ZpXl6kjW,Enterprise Software
