Startup Name,Startup URL,Logo URL
active intelligence,http://www.active.ai//,http://www.idgvcindia.com/images/projects/folio_active_intelligence.png
adadyn,http://www.adadyn.com/,http://www.idgvcindia.com/images/projects/folio_adadyn.png
agile,http://www.agile-ft.com/,http://www.idgvcindia.com/images/projects/folio_agile.png
agrostar,http://www.agrostar.in/,http://www.idgvcindia.com/images/projects/folio_agrostar.png
asaan,https://www.aasaanjobs.com/en/,http://www.idgvcindia.com/images/projects/folio_asaan.png
apalya,http://apalya.com/,http://www.idgvcindia.com/images/projects/folio_apalya.png
aujas,http://aujas.com/,http://www.idgvcindia.com/images/projects/folio_aujas.png
axio,http://www.axiobio.com/,http://www.idgvcindia.com/images/projects/folio_axio.png
bizongo,https://bizongo.in/,http://www.idgvcindia.com/images/projects/folio_bizongo.png
cloud cherry,https://www.getcloudcherry.com/,http://www.idgvcindia.com/images/projects/folio_cloud_cherry.png
cityflo,https://cityflo.com/,http://www.idgvcindia.com/images/projects/folio_cityflo.png
credit mantri,https://www.creditmantri.com/,http://www.idgvcindia.com/images/projects/folio_credit_mantri.png
connectm,http://www.connectm.com/,http://www.idgvcindia.com/images/projects/folio_connectm.png
eshakti,http://www.eshakti.com/,http://www.idgvcindia.com/images/projects/folio_eshakti.png
fieldez,https://www.fieldez.com/,http://www.idgvcindia.com/images/projects/folio_fieldez.png
fintellix,http://www.fintellix.com/India_index.php,http://www.idgvcindia.com/images/projects/folio_fintellix.png
firstcry,http://www.firstcry.com/,http://www.idgvcindia.com/images/projects/folio_firstcry.png
flipkart,http://www.flipkart.com/,http://www.idgvcindia.com/images/projects/folio_flipkart.png
flyrobe,http://flyrobe.com/,http://www.idgvcindia.com/images/projects/folio_flyrobe.png
forus,http://forushealth.com/forus/,http://www.idgvcindia.com/images/projects/folio_forus.png
healthifyme,http://healthifyme.com/,http://www.idgvcindia.com/images/projects/folio_healthifyme.png
heckyl,http://www.heckyl.com/,http://www.idgvcindia.com/images/projects/folio_heckyl.png
hiree,https://hiree.com/,http://www.idgvcindia.com/images/projects/folio_hiree.png
icrushiflush,https://www.icrushiflush.com/,http://www.idgvcindia.com/images/projects/folio_icrushiflush.png
infisecure,http://www.infisecure.com/,http://www.idgvcindia.com/images/projects/folio_infisecure.jpg
iprof,http://www.iprofindia.com/,http://www.idgvcindia.com/images/projects/folio_iprof.png
iviz,http://www.ivizsecurity.com,http://www.idgvcindia.com/images/projects/folio_iviz.png
lenskart,http://www.lenskart.com/,http://www.idgvcindia.com/images/projects/folio_lenskart.jpg
letsventure,https://letsventure.com/,http://www.idgvcindia.com/images/projects/folio_letsventure.png
little black book,https://lbb.in/,http://www.idgvcindia.com/images/projects/folio_little_black_book.png
manthan,http://www.manthansystems.com/,http://www.idgvcindia.com/images/projects/folio_manthan.png
mpaani,http://www.mpaani.com/,http://www.idgvcindia.com/images/projects/folio_mpaani.jpg
momoe,https://www.momoe.in/,http://www.idgvcindia.com/images/projects/folio_momoe.png
myntra,http://www.myntra.com/,http://www.idgvcindia.com/images/projects/folio_myntra.png
nestaway,http://www.nestaway.com/,http://www.idgvcindia.com/images/projects/folio_nestaway.png
newgen,http://www.newgensoft.com/,http://www.idgvcindia.com/images/projects/folio_newgen.png
peelworks,http://www.peel-works.com/,http://www.idgvcindia.com/images/projects/folio_peelworks.png
perfint,http://www.perfinthealthcare.com/,http://www.idgvcindia.com/images/projects/folio_perfint.png
playsimple,https://playsimple.in/,http://www.idgvcindia.com/images/projects/folio_playsimple.png
popxo,https://www.popxo.com/,http://www.idgvcindia.com/images/projects/folio_popxo.png
pluss,https://www.plussapp.com,http://www.idgvcindia.com/images/projects/folio_pluss.png
rentomojo,https://www.rentomojo.com/,http://www.idgvcindia.com/images/projects/folio_rentomojo.png
silverpush,http://www.silverpush.co/#!/,http://www.idgvcindia.com/images/projects/folio_silverpush.png
sourcebits,http://www.sourcebits.com/,http://www.idgvcindia.com/images/projects/folio_sourcebits.png
superprofs,http://superprofs.com/,http://www.idgvcindia.com/images/projects/folio_superprofs.png
tripoto,http://www.tripoto.com/,http://www.idgvcindia.com/images/projects/folio_tripoto.png
unbxd,http://www.unbxd.com/,http://www.idgvcindia.com/images/projects/folio_unbxd.png
uniphore,http://www.uniphore.com/,http://www.idgvcindia.com/images/projects/folio_uniphore.png
vserv,http://www.vserv.com/,http://www.idgvcindia.com/images/projects/folio_vserv.png
busybees,#,http://www.idgvcindia.com/images/projects/folio_busybees.png
yatra,http://www.yatra.com/,http://www.idgvcindia.com/images/projects/folio_yatra.png
zimmber,http://zimmber.com/,http://www.idgvcindia.com/images/projects/folio_zimmber.png
zivame,http://www.zivame.com/,http://www.idgvcindia.com/images/projects/folio_zivame.png
zumutor,http://zumutor.com/,http://www.idgvcindia.com/images/projects/folio_zumutor.png
