Startup Name,Startup URL,Logo URL,Facebook URL,LinkedIn URL,Description,Industry
Aurus Network,http://www.aurusnet.com/,https://ianstorage.s3.amazonaws.com/ianCache/aa/05/aa0536cb1847261d5f5a222fd00e83de.jpg,https://www.facebook.com/aurusnet?fref=ts,https://www.linkedin.com/company/1193236?trk=tyah&trkInfo=tarId%3A1415684925380%2Ctas%3Aaurus%20network%2Cidx%3A2-1-3,Revolutionising the way distance/online education is delivered.,Education
Rank Junction,http://rankjunction.com/,https://ianstorage.s3.amazonaws.com/ianCache/af/dd/afdd5afbbf4911c3018d7d2e111a58f8.jpg,http://facebook.com/rankjunction,,Exam ranking and preparation platform.,Education
SP Robotic Works ,http://www.sproboticworks.com/,https://ianstorage.s3.amazonaws.com/ianCache/b5/d7/b5d78e67935279fa8a57faa8d372de85.jpg,,,One-Stop Shop for all Robotic Needs,Education
The Lanka BPO Academy,http://www.lankabpoacademy.lk/,https://ianstorage.s3.amazonaws.com/ianCache/3a/33/3a333a55b14c89d4621640f044256a72.jpg,https://www.facebook.com/lankabpoacademy,,IT-BPO training & qualification provider.,Education
Vienova,http://www.vienova.com/,https://ianstorage.s3.amazonaws.com/ianCache/b3/48/b348668f113a39806ee440044b244a0a.jpg,,https://www.linkedin.com/company/3539657?trk=vsrp_companies_res_name&trkInfo=VSRPsearchId%3A1726827071415864131176%2CVSRPtargetId%3A3539657%2CVSRPcmpt%3Aprimary,Live online education services.,Education
6 Degree,http://6degree.co/,https://ianstorage.s3.amazonaws.com/ianCache/4c/92/4c92747f7f50ed6602f41d325ee63181.jpg,,,A platform for the fashion industry,B2C-Consumer
Alma Mater,http://www.almamaterstore.in/,https://ianstorage.s3.amazonaws.com/ianCache/fd/6c/fd6c343e39d386269ad640bbcce5e223.jpg,https://www.facebook.com/almamaterstore,,"India's largest merchandise brand for schools, colleges & corporates.",B2C-Consumer
Faballey,http://faballey.com/,https://ianstorage.s3.amazonaws.com/ianCache/56/b7/56b7d4afcc3d92238f26d6c0419a7d64.jpg,https://www.facebook.com/FabAlley/info?tab=page_info,,Online fashion retailer for womens,B2C-Consumer
Fourseven,https://www.fourseven.in/,https://ianstorage.s3.amazonaws.com/ianCache/49/86/49869d603980f9076669cf278dc7d6ae.jpg,,,Silver Jewellery Online,B2C-Consumer
FreshWorld,http://www.freshworld.in/,https://ianstorage.s3.amazonaws.com/ianCache/0e/f6/0ef6b8500d2626581b75a74360151976.jpg,https://www.facebook.com/freshworldin,https://in.linkedin.com/in/raorajiv,Fruits and Vegetables at your Doorstep,B2C-Consumer
Lonali,http://www.lonali.com/,https://ianstorage.s3.amazonaws.com/ianCache/80/65/8065b9313b5524d16d1b15c72b1df8f6.jpg,https://www.facebook.com/HouseofLonali,,Ethical apparel.,B2C-Consumer
Nithya,http://nithyarn.com/,https://ianstorage.s3.amazonaws.com/ianCache/06/57/06578025618126edb62f08e5c6551de2.jpg,https://www.facebook.com/nithyafashion,,Reinvent and re-launch Sri Lanka's ancient craft of handloom.,B2C-Consumer
PrettySecrets,http://prettysecrets.com/,https://ianstorage.s3.amazonaws.com/ianCache/95/7a/957ad1d25ddc287e4205f577615002c7.jpg,https://www.facebook.com/prettysecrets,,Exhaustive collection of high quality lingerie.,B2C-Consumer
Shoekonnect,http://app.shoekonnect.com/,https://ianstorage.s3.amazonaws.com/ianCache/c7/be/c7be936709a4ae5eb993c35f52d28f44.jpg,,,Connecting the Global Footwear and Leather Industry,B2C-Consumer
Shopatplaces,http://www.shopatplaces.com/,https://ianstorage.s3.amazonaws.com/ianCache/af/e7/afe72f9e9f169cda3fae408d43cc901e.jpg,,,E-Commerce Platform For Authentic Products,B2C-Consumer
Styledotme,http://styledotme.com/,https://ianstorage.s3.amazonaws.com/ianCache/50/3b/503be26f172560148c9e0155c87b0ca5.jpg,,,Fashion and Lifestyle App,B2C-Consumer
Gamiana,http://www.gamiana.com/,https://ianstorage.s3.amazonaws.com/ianCache/3b/40/3b40f0aee0c5c3421ccdae5f675f05d2.jpg,,http://www.linkedin.com/pub/vishal-golia/5/1b0/608,The 'house of games'.,"Media,Entertainment,Advertising"
Hashcube,http://hashcube.com/,https://ianstorage.s3.amazonaws.com/ianCache/d5/53/d553a8625b335e5b23e3591a704f6079.jpg,http://www.facebook.com/hashcube,https://www.linkedin.com/company/236996,Built a replicable framework for casual games.,"Media,Entertainment,Advertising"
Toko,http://tokoinnovationstudios.com/,https://ianstorage.s3.amazonaws.com/ianCache/58/44/58445683bcbee8ac7dfe0ef86d43216e.jpg,,,Children’s entertainment portal ,"Media,Entertainment,Advertising"
LoudCell,http://www.loudcell.com/,https://ianstorage.s3.amazonaws.com/ianCache/d3/06/d306f489b75c1133759df39384ba33b3.jpg,,,Fuel tracking and management platform for power generators,Manufacturing-Engineering
Mukunda Foods,http://www.mukundafoods.com/,https://ianstorage.s3.amazonaws.com/ianCache/75/88/7588fcf3463e9a53b358abbbe5106e48.jpg,https://www.facebook.com/mukundafoods,,The worlds first fully automatic dosa maker,Manufacturing-Engineering
Vayavya Labs,http://vayavyalabs.com/,https://ianstorage.s3.amazonaws.com/ianCache/a2/33/a233dca33381db0c583df450b6c2b9a2.jpg,https://www.facebook.com/VayavyaLabs,https://www.linkedin.com/company/vayavya-labs-pvt.-ltd,Vayavya’s tools target the ‘First-Inflection-Point’ of the hardware and software designs. ,Manufacturing-Engineering
xSi Semiconductors ,http://www.xsisemiconductors.com/,https://ianstorage.s3.amazonaws.com/ianCache/0e/e4/0ee4539770ce9c4efc7a63ef116e321f.jpg,,,Develop mixed signal IC based products,Manufacturing-Engineering
Ascema,http://www.ascema.com/,https://ianstorage.s3.amazonaws.com/ianCache/07/b4/07b4bae06581db5e23d9940a1af971e2.jpg,,,Content level protection and location,Internet
