Startup Name,Startup URL,Logo URL
Active.Ai,http://active.ai/,http://www.kalaari.com/wp-content/uploads/2017/04/01-KalariCapital-Portfolio-Logos_Grid_03.jpg
Affordplan,https://affordplan.com/,http://www.kalaari.com/wp-content/uploads/2017/04/01-KalariCapital-Portfolio-Logos_Grid_05-1.jpg
Airpay,https://www.airpay.co.in/,http://www.kalaari.com/wp-content/uploads/2017/04/01-KalariCapital-Portfolio-Logos_Grid_07.jpg
AppsDaily,http://www.kalaari.com/portfolio/apps-daily,http://www.kalaari.com/wp-content/uploads/2017/04/01-KalariCapital-Portfolio-Logos_Grid_09.jpg
Basiz,http://www.kalaari.com/portfolio/basiz,http://www.kalaari.com/wp-content/uploads/2017/04/01-KalariCapital-Portfolio-Logos_Grid_11.jpg
BlueStone,http://www.kalaari.com/portfolio/bluestone,http://www.kalaari.com/wp-content/uploads/2017/04/01-KalariCapital-Portfolio-Logos_Grid_18.jpg
CashKaro,http://www.kalaari.com/portfolio/cashkaro,http://www.kalaari.com/wp-content/uploads/2017/04/01-KalariCapital-Portfolio-Logos_Grid_19.jpg
Credit Vidya,http://www.creditvidya.com/,http://www.kalaari.com/wp-content/uploads/2017/04/01-KalariCapital-Portfolio-Logos_Grid_20.jpg
Crowdfire,http://www.kalaari.com/portfolio/crowdfire,http://www.kalaari.com/wp-content/uploads/2017/04/01-KalariCapital-Portfolio-Logos_Grid_21.jpg
Curefit,http://www.cure.fit/,http://www.kalaari.com/wp-content/uploads/2017/04/01-KalariCapital-Portfolio-Logos_Grid_22-1.jpg
Dream11,http://www.kalaari.com/portfolio/dream11,http://www.kalaari.com/wp-content/uploads/2017/04/01-KalariCapital-Portfolio-Logos_Grid_28.jpg
Elastic Run,http://www.elastic.run/,http://www.kalaari.com/wp-content/uploads/2017/04/01-KalariCapital-Portfolio-Logos_Grid_29.jpg
Embibe,http://www.kalaari.com/portfolio/embibe,http://www.kalaari.com/wp-content/uploads/2017/04/01-KalariCapital-Portfolio-Logos_Grid_30.jpg
Germin8,http://www.kalaari.com/portfolio/germin8,http://www.kalaari.com/wp-content/uploads/2017/04/01-KalariCapital-Portfolio-Logos_Grid_09-1.jpg
Hola Chef,http://www.kalaari.com/portfolio/hola-chef,http://www.kalaari.com/wp-content/uploads/2017/04/01-KalariCapital-Portfolio-Logos_Grid_40.jpg
IndustryBuying,http://www.kalaari.com/portfolio/industrybuying,http://www.kalaari.com/wp-content/uploads/2017/04/01-KalariCapital-Portfolio-Logos_Grid_41.jpg
Instamojo,http://www.kalaari.com/portfolio/instamojo,http://www.kalaari.com/wp-content/uploads/2017/04/01-KalariCapital-Portfolio-Logos_Grid_42.jpg
Magzter,http://www.kalaari.com/portfolio/magzter,http://www.kalaari.com/wp-content/uploads/2017/04/01-KalariCapital-Portfolio-Logos_Grid_48.jpg
Mettl,http://www.kalaari.com/portfolio/mettl,http://www.kalaari.com/wp-content/uploads/2017/04/01-KalariCapital-Portfolio-Logos_Grid_50.jpg
Nanoheal,http://www.kalaari.com/portfolio/nanoheal,http://www.kalaari.com/wp-content/uploads/2017/04/01-KalariCapital-Portfolio-Logos_Grid_52.jpg
OvenFresh,http://www.kalaari.com/portfolio/ovenfresh,http://www.kalaari.com/wp-content/uploads/2017/04/01-KalariCapital-Portfolio-Logos_Grid_58.jpg
POPxo,http://www.kalaari.com/portfolio/popxo,http://www.kalaari.com/wp-content/uploads/2017/04/01-KalariCapital-Portfolio-Logos_Grid_59.jpg
Power2SME,http://www.kalaari.com/portfolio/power2sme,http://www.kalaari.com/wp-content/uploads/2017/04/01-KalariCapital-Portfolio-Logos_Grid_60.jpg
RKSV,https://upstox.com/,http://www.kalaari.com/wp-content/uploads/2017/04/01-KalariCapital-Portfolio-Logos_Grid_61.jpg
