Startup Name,Startup URL,Logo URL,Facebook URL,Twitter URL,Description,Industry
acko,,http://www.saifpartners.com/wp-content/uploads/Acko-logo.png,,,Acko operates a digital insurance manufacturing platform aiming to deliver personalized insurance products with an unmatched customer experience,Finance
bookmyshow,,http://www.saifpartners.com/wp-content/uploads/1_bookmyshow_color-254x73.png,https://www.facebook.com/BookMyShowIN/,,"BookMyShow is India's largest entertainment ticketing portal. As it stands today, the highest number of tickets sold in a single month tallies over 10 million.",Consumer Internet
bobble,http://bobble.in,http://www.saifpartners.com/wp-content/uploads/7_bobble_color-254x98.png,https://www.facebook.com/bobbleapp,https://twitter.com/BobbleApp,,Mobile
blue star,http://www.bluestarindia.com/,http://www.saifpartners.com/wp-content/uploads/bluestar.png,,,,Industrials
aye finance,http://www.ayefin.com/,http://www.saifpartners.com/wp-content/uploads/Aye_Finance_LOGO.jpg,,,"Aye Finance is a young modern organization that believes in delivering customer centered and yet affordable loans to its rapidly growing clientele of micro and small and micro enterprises across India which are presently locked out of the financial system. Founded by professional bankers Sanjay Sharma and Vikram Jetley in 2014, Aye has successfully made a ground level connect with India’s thriving MSME sector and offers customized and innovative financial products to match the sectors’ business needs.",Finance
auto ninja,http://www.autoninja.net/,http://www.saifpartners.com/wp-content/uploads/2015/07/autoninja.png,https://www.facebook.com/autoninja.in,https://twitter.com/autoninja1,"Auto Ninja specialises in Customer Engagement Solutions for Automobile Car Dealerships. Auto ninja flagship product Ninja CRM is a complete suite of CRM for Sales, Service & Insurance - with focus on Mobile & Social CRM. Advanced features, such as full telephony integration, auto dialer, campaign management and mobile app. Auto Ninja also has a user focussed app ""Bumper"" that allows users to get quotes for repair and service for their cars.",SaaS
atul,http://www.atul.co.in/,http://www.saifpartners.com/wp-content/uploads/atul.png,https://www.facebook.com/Atulltd,https://twitter.com/AtulLtd,,Industrials
edelweiss financial services,http://www.edelweissfin.com/,http://www.saifpartners.com/wp-content/uploads/2_edelweis_color-254x80.png,https://www.facebook.com/edelweissonline,https://twitter.com/Edelweissonline,,Finance
css corp,https://www.csscorp.com/,http://www.saifpartners.com/wp-content/uploads/csscorp.png,https://www.facebook.com/CSSCorporation,https://twitter.com/CSSCorp,,IT Services
crowd analytix,http://www.crowdanalytix.com/,http://www.saifpartners.com/wp-content/uploads/2015/05/crowdanalytix.png,https://www.facebook.com/crowdanalytix,https://twitter.com/crowdanalytix_q,"Crowd ANALYTIX is a crowd-sourced analytics service that supports the growing need for analytics expertise in the life sciences and professional service industries. Through Crowd ANALYTIX’s crowdsourcing platform, the company engages a large community of independent analytical experts in solving client problems through competitive contest. For example, Crowd ANALYTIX has built multiple predictive models for screening and selecting patients for clinical trials using clinical data and genetic biomarkers, and has helped determine the efficacy of a drug by creating models for disease progression without intervention and comparing it to the real-life impact in trials.",Internet
coverfox,https://www.coverfox.com/,http://www.saifpartners.com/wp-content/uploads/coverfox.png,https://www.facebook.com/Coverfox.Insurance,https://twitter.com/Coverfox,,Finance
cleartax,www.cleartax.com,http://www.saifpartners.com/wp-content/uploads/cleartax.png,https://www.facebook.com/ClearTax/,https://twitter.com/cleartax_in,"ClearTax is India’s leading fintech company that offers intelligent software solutions for compliance with direct and indirect taxes. ClearTax's mission is to simplify people’s financial lives and improve outcomes for businesses by helping them manage taxes and compliance in a simple and smart way. ClearTax is used by over 1.5 Million users to file their taxes. Besides Individuals, over 25,000 CA firms and thousands of businesses across India use the ClearTax platform for Tax, TDS and GST returns.
",Finance Internet
chefs basket,http://chefsbasket.com/,http://www.saifpartners.com/wp-content/uploads/2016/11/Logo_Chefs-Basket-2.png,,,,Consumer
care24,http://www.care24.co.in,http://www.saifpartners.com/wp-content/uploads/care24.png,https://www.facebook.com/Care24athome/,https://twitter.com/care24athome,"Care24 intends to free up India's healthcare services from the limitations of real estate, armed with the knowledge that patients get better faster in the comfort of their homes. Towards this vision, Care24 provides highly trained medical professionals to serve home-bound patients in Delhi and Mumbai, while using digital and mobile tech to enhance patient outcomes",Healthcare
