Startup Name,Startup URL,Twitter URL,LinkedIn URL,Logo URL,Description,Founding Year,Invested Year
Nugit,https://nugit.co/,https://twitter.com/nugit,https://www.linkedin.com/company/nugit,https://d33wubrfki0l68.cloudfront.net/d51036b57031f61c5950b47ecb76b31ddc528406/39627/img/c/nugit-logo2_w65_h65.png,"Nugit's data analytics technology combines artificial intelligence, natural language generation, and visual design to transform marketing data into decision-ready reports.",2013,2013
90 Seconds,https://90seconds.tv/,https://twitter.com/90secondstv,https://www.linkedin.com/company/90-seconds,https://d33wubrfki0l68.cloudfront.net/c0b62f2855689fd31ddcc4b28ba535b89991a6d7/d0c3e/img/c/90-seconds-logo_w65_h65.jpg,"90 Seconds is the world’s leading cloud video production platform, allowing brands to purchase, plan, shoot, edit and review video anywhere in the world, online and on mobile.",2015,2015
Akumentis Healthcare,http://www.akumentishealthcare.com/,,,https://d33wubrfki0l68.cloudfront.net/43a23c0d5b1977247ef76d7533c3d489c4e28989/dfd00/img/c/akumentis-logo-jpeg_w65_h65.jpg,"Akumentis Healthcare is one of the fastest growing branded generics companies in India with presence across multiple therapeutic areas, with a very strong market position in women’s health. ",2010,2010
ASG Hospital,http://asgeyehospital.com/,https://twitter.com/asgeyehospital,https://in.linkedin.com/pub/asg-eye-hospital/103/124/36b,https://d33wubrfki0l68.cloudfront.net/15e972d78959b052dcc32f19b497dc3f0534ef95/fc0e1/img/c/asg-logo-new_w65_h65.jpg,ASG Eye Hospital is an eye care provider in Northern India.,2007,2007
B9 Beverages,http://www.bira91.com/,,https://www.linkedin.com/company/b9-beverages-pvt-ltd,https://d33wubrfki0l68.cloudfront.net/1c28cca781567abe98a5558bf01863845b699429/5ba0f/img/c/bira_w65_h65.jpg,B9 Beverages is a fast growing craft beer brand available in draft and bottle formats.,2014,2014
Belong,https://belong.co/,https://twitter.com/belongco,https://www.linkedin.com/company/belong-co,https://d33wubrfki0l68.cloudfront.net/dacae7a2ad8e4a5279f65c95c23505cb8e044b95/4ca9c/img/c/belong-logo_w65_h65.jpg,"Belong is a predictive, outbound recruitment solution that helps businesses discover, engage and hire talented candidates.",2015,2015
Cafe Coffee Day,http://www.cafecoffeeday.com/,https://twitter.com/CafeCoffeeDay?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.linkedin.com/company/cafe-coffee-day,https://d33wubrfki0l68.cloudfront.net/434e0f5c9768219a79dd0a7ae68925cf5952bc08/292fc/img/c/cafe-coffee-day-logo-new_w65_h65.png,Cafe Coffee Day is India's most popular coffee shop chain.,1996,1996
Capital Float,http://www.capitalfloat.com/,https://twitter.com/CapitalFloat,https://www.linkedin.com/company/capital-float,https://d33wubrfki0l68.cloudfront.net/bb4dce98879e23cdce5e593105442a5f38134614/9dcee/img/c/capital-float-logo_w65_h65.png,Capital Float is an online lending platform serving startups and small businesses.,2013,2013
Carousell,https://carousell.com/app/,https://twitter.com/thecarousell,https://in.linkedin.com/company/carousell,https://d33wubrfki0l68.cloudfront.net/506a15b0133c1f86d714a2905e90ec63296a8e58/96e3c/img/c/carousell-logo_w65_h65.png,Carousell is a consumer-to-consumer mobile marketplace.,2014,2014
Chillr,https://chillr.in/,https://twitter.com/mychillr,https://www.linkedin.com/company/chillr-backwater-technologies-p-ltd-,https://d33wubrfki0l68.cloudfront.net/47aa4464b7487db7df9460112248c7ebd80e8c58/c1e3e/img/c/chillr_w65_h65.jpg,Chillr is India's first multi-bank mobile payment ecosystem.,2014,2014
